TopK=50

=== Yearly TopK Weight Stats ===
Year       | Avg Sum(Weights)     | Avg Sum(Squared)    
-------------------------------------------------------
1985       | 0.0000               | 0.0000              
1986       | 5.0995               | 0.9859              
1987       | 5.0619               | 0.9848              
1988       | 5.0988               | 0.9820              
1989       | 5.0912               | 0.9820              
1990       | 5.1063               | 0.9812              
1991       | 5.0941               | 0.9818              
1992       | 5.0918               | 0.9820              
1993       | 5.0367               | 0.9851              
1994       | 5.0395               | 0.9850              
1995       | 5.0149               | 0.9849              
1996       | 5.0200               | 0.9853              
1997       | 4.9721               | 0.9858              
1998       | 4.9308               | 0.9866              
1999       | 4.9127               | 0.9872              
2000       | 4.8963               | 0.9880              
2001       | 4.8450               | 0.9886              
2002       | 4.8054               | 0.9886              
2003       | 4.7638               | 0.9890              
2004       | 4.7504               | 0.9886              
2005       | 4.7240               | 0.9881              
2006       | 4.6922               | 0.9892              
2007       | 4.6375               | 0.9902              
2008       | 4.6192               | 0.9908              
2009       | 4.6374               | 0.9905              
2010       | 4.6412               | 0.9903              
2011       | 4.6373               | 0.9900              
2012       | 4.6079               | 0.9901              
2013       | 4.6249               | 0.9898              
2014       | 4.6329               | 0.9898              
2015       | 4.5917               | 0.9905              
2016       | 4.5985               | 0.9904              
2017       | 4.5937               | 0.9902              
2018       | 4.6185               | 0.9892              
2019       | 4.5852               | 0.9896              
2020       | 4.6235               | 0.9891              
2021       | 4.6717               | 0.9884              
2022       | 4.7087               | 0.9875              
2023       | 4.6957               | 0.9875              
2024       | 4.8030               | 0.9850              

=== Pairwise DF Sum ===
Year1      | Year2      | Sum(DF*DF)          
---------------------------------------------
1985       | 1985       | 0                   
1985       | 1986       | 0                   
1985       | 1987       | 0                   
1985       | 1988       | 0                   
1985       | 1989       | 0                   
1985       | 1990       | 0                   
1986       | 1985       | 0                   
1986       | 1986       | 1282147             
1986       | 1987       | 1380267             
1986       | 1988       | 1456482             
1986       | 1989       | 1255230             
1986       | 1990       | 1437332             
1986       | 1991       | 1623757             
1987       | 1985       | 0                   
1987       | 1986       | 1380267             
1987       | 1987       | 1661076             
1987       | 1988       | 1672597             
1987       | 1989       | 1446477             
1987       | 1990       | 1657701             
1987       | 1991       | 1876996             
1987       | 1992       | 2373407             
1988       | 1985       | 0                   
1988       | 1986       | 1456482             
1988       | 1987       | 1672597             
1988       | 1988       | 1852961             
1988       | 1989       | 1538151             
1988       | 1990       | 1757153             
1988       | 1991       | 1988946             
1988       | 1992       | 2518375             
1988       | 1993       | 2795034             
1989       | 1985       | 0                   
1989       | 1986       | 1255230             
1989       | 1987       | 1446477             
1989       | 1988       | 1538151             
1989       | 1989       | 1412370             
1989       | 1990       | 1530851             
1989       | 1991       | 1737348             
1989       | 1992       | 2204049             
1989       | 1993       | 2445930             
1989       | 1994       | 2544604             
1990       | 1985       | 0                   
1990       | 1986       | 1437332             
1990       | 1987       | 1657701             
1990       | 1988       | 1757153             
1990       | 1989       | 1530851             
1990       | 1990       | 1855221             
1990       | 1991       | 2005211             
