TopK=50

=== Yearly TopK Weight Stats ===
Year       | Avg Sum(Weights)     | Avg Sum(Squared)    
1990       | 1992       | 2540938             
1990       | 1993       | 2817033             
1990       | 1994       | 2928699             
1990       | 1995       | 2976971             
1991       | 1986       | 1623757             
1991       | 1987       | 1876996             
1991       | 1988       | 1988946             
1991       | 1989       | 1737348             
1991       | 1990       | 2005211             
1991       | 1991       | 2382538             
1991       | 1992       | 2895823             
1991       | 1993       | 3222633             
1991       | 1994       | 3349483             
1991       | 1995       | 3408858             
1991       | 1996       | 4233717             
1992       | 1987       | 2373407             
1992       | 1988       | 2518375             
1992       | 1989       | 2204049             
1992       | 1990       | 2540938             
1992       | 1991       | 2895823             
1992       | 1992       | 3823157             
1992       | 1993       | 4179643             
1992       | 1994       | 4339040             
1992       | 1995       | 4428203             
1992       | 1996       | 5500785             
1992       | 1997       | 6525994             
1993       | 1988       | 2795034             
1993       | 1989       | 2445930             
1993       | 1990       | 2817033             
1993       | 1991       | 3222633             
1993       | 1992       | 4179643             
1993       | 1993       | 5254641             
1993       | 1994       | 5251137             
1993       | 1995       | 5420904             
1993       | 1996       | 6725346             
1993       | 1997       | 7920601             
1993       | 1998       | 9460748             
1994       | 1989       | 2544604             
1994       | 1990       | 2928699             
1994       | 1991       | 3349483             
1994       | 1992       | 4339040             
1994       | 1993       | 5251137             
1994       | 1994       | 5558677             
1994       | 1995       | 5585343             
1994       | 1996       | 6933574             
1994       | 1997       | 8180459             
1994       | 1998       | 9801919             
1994       | 1999       | 12067555            
1995       | 1990       | 2976971             
1995       | 1991       | 3408858             
1995       | 1992       | 4428203             
1995       | 1993       | 5420904             
1995       | 1994       | 5585343             
1995       | 1995       | 6080238             
1995       | 1996       | 7483662             
1995       | 1997       | 8854706             
1995       | 1998       | 10678409            
1995       | 1999       | 13094910            
1995       | 2000       | 18664894            
1996       | 1991       | 4233717             
1996       | 1992       | 5500785             
1996       | 1993       | 6725346             
1996       | 1994       | 6933574             
1996       | 1995       | 7483662             
1996       | 1996       | 9730776             
1996       | 1997       | 11344549            
1996       | 1998       | 13746215            
1996       | 1999       | 16861342            
1996       | 2000       | 24015872            
1996       | 2001       | 32655111            
1997       | 1992       | 6525994             
1997       | 1993       | 7920601             
1997       | 1994       | 8180459             
1997       | 1995       | 8854706             
1997       | 1996       | 11344549            
1997       | 1997       | 13834086            
1997       | 1998       | 16536688            
1997       | 1999       | 20365113            
1997       | 2000       | 29054067            
1997       | 2001       | 39821538            
1997       | 2002       | 61577060            
1998       | 1993       | 9460748             
1998       | 1994       | 9801919             
1998       | 1995       | 10678409            
1998       | 1996       | 13746215            
1998       | 1997       | 16536688            
1998       | 1998       | 20533903            
1998       | 1999       | 24993064            
1998       | 2000       | 35710143            
1998       | 2001       | 49174762            
1998       | 2002       | 76105544            
1998       | 2003       | 105853131           
1999       | 1994       | 12067555            
1999       | 1995       | 13094910            
1999       | 1996       | 16861342            
1999       | 1997       | 20365113            
1999       | 1998       | 24993064            
1999       | 1999       | 31426352            
1999       | 2000       | 44472124            
1999       | 2001       | 61632830            
1999       | 2002       | 95829528            
1999       | 2003       | 133601581           
1999       | 2004       | 155185933           
2000       | 1995       | 18664894            
2000       | 1996       | 24015872            
2000       | 1997       | 29054067            
2000       | 1998       | 35710143            
2000       | 1999       | 44472124            
2000       | 2000       | 64346295            
2000       | 2001       | 88907693            
2000       | 2002       | 138528896           
2000       | 2003       | 193131344           
2000       | 2004       | 224659575           
2000       | 2005       | 298427671           
2001       | 1996       | 32655111            
2001       | 1997       | 39821538            
2001       | 1998       | 49174762            
2001       | 1999       | 61632830            
2001       | 2000       | 88907693            
2001       | 2001       | 127049580           
2001       | 2002       | 198701688           
2001       | 2003       | 277849662           
2001       | 2004       | 325093952           
2001       | 2005       | 433027756           
2001       | 2006       | 543514241           
2002       | 1997       | 61577060            
2002       | 1998       | 76105544            
2002       | 1999       | 95829528            
2002       | 2000       | 138528896           
2002       | 2001       | 198701688           
2002       | 2002       | 318252111           
2002       | 2003       | 445208473           
2002       | 2004       | 519795797           
2002       | 2005       | 693047651           
2002       | 2006       | 872869355           
2002       | 2007       | 1065374742          
2003       | 1998       | 105853131           
2003       | 1999       | 133601581           
2003       | 2000       | 193131344           
2003       | 2001       | 277849662           
2003       | 2002       | 445208473           
2003       | 2003       | 637288798           
2003       | 2004       | 734941726           
2003       | 2005       | 978807558           
2003       | 2006       | 1233938301          
2003       | 2007       | 1506472201          
2003       | 2008       | 1909867941          
2004       | 1999       | 155185933           
2004       | 2000       | 224659575           
2004       | 2001       | 325093952           
2004       | 2002       | 519795797           
2004       | 2003       | 734941726           
2004       | 2004       | 869637819           
2004       | 2005       | 1161020877          
2004       | 2006       | 1469711476          
2004       | 2007       | 1799385487          
2004       | 2008       | 2280872057          
2004       | 2009       | 2863084545          
2005       | 2000       | 298427671           
2005       | 2001       | 433027756           
2005       | 2002       | 693047651           
2005       | 2003       | 978807558           
2005       | 2004       | 1161020877          
2005       | 2005       | 1565446460          
2005       | 2006       | 1981393683          
2005       | 2007       | 2427787085          
2005       | 2008       | 3073203694          
2005       | 2009       | 3853932557          
2005       | 2010       | 4515610539          
2006       | 2001       | 543514241           
2006       | 2002       | 872869355           
2006       | 2003       | 1233938301          
2006       | 2004       | 1469711476          
2006       | 2005       | 1981393683          
2006       | 2006       | 2535410218          
2006       | 2007       | 3117067671          
2006       | 2008       | 3948080995          
2006       | 2009       | 4953921731          
2006       | 2010       | 5802601226          
2006       | 2011       | 7324845012          
2007       | 2002       | 1065374742          
2007       | 2003       | 1506472201          
2007       | 2004       | 1799385487          
2007       | 2005       | 2427787085          
2007       | 2006       | 3117067671          
2007       | 2007       | 3867764380          
2007       | 2008       | 4910103095          
2007       | 2009       | 6168061530          
2007       | 2010       | 7225150240          
2007       | 2011       | 9132391419          
2007       | 2012       | 10917705228         
2008       | 2003       | 1909867941          
2008       | 2004       | 2280872057          
2008       | 2005       | 3073203694          
2008       | 2006       | 3948080995          
2008       | 2007       | 4910103095          
2008       | 2008       | 6283776846          
2008       | 2009       | 7907745839          
2008       | 2010       | 9280528217          
2008       | 2011       | 11741251580         
2008       | 2012       | 14043052278         
2008       | 2013       | 20217547523         
2009       | 2004       | 2863084545          
2009       | 2005       | 3853932557          
2009       | 2006       | 4953921731          
2009       | 2007       | 6168061530          
2009       | 2008       | 7907745839          
2009       | 2009       | 9998136117          
2009       | 2010       | 11750674566         
2009       | 2011       | 14877952408         
2009       | 2012       | 17792522842         
2009       | 2013       | 25676045152         
2009       | 2014       | 26736928465         
2010       | 2005       | 4515610539          
2010       | 2006       | 5802601226          
2010       | 2007       | 7225150240          
2010       | 2008       | 9280528217          
2010       | 2009       | 11750674566         
2010       | 2010       | 13865370719         
2010       | 2011       | 17563310023         
2010       | 2012       | 21006420810         
2010       | 2013       | 30383450416         
2010       | 2014       | 31713359958         
2010       | 2015       | 36009029438         
2011       | 2006       | 7324845012          
2011       | 2007       | 9132391419          
2011       | 2008       | 11741251580         
2011       | 2009       | 14877952408         
2011       | 2010       | 17563310023         
2011       | 2011       | 22311029289         
2011       | 2012       | 26713691184         
2011       | 2013       | 38657617059         
2011       | 2014       | 40421122346         
2011       | 2015       | 45967515072         
2011       | 2016       | 55913448263         
2012       | 2007       | 10917705228         
2012       | 2008       | 14043052278         
2012       | 2009       | 17792522842         
2012       | 2010       | 21006420810         
2012       | 2011       | 26713691184         
2012       | 2012       | 32113467255         
2012       | 2013       | 46442202100         
2012       | 2014       | 48656611244         
2012       | 2015       | 55515923107         
2012       | 2016       | 67657651191         
2012       | 2017       | 66060700138         
2013       | 2008       | 20217547523         
2013       | 2009       | 25676045152         
2013       | 2010       | 30383450416         
2013       | 2011       | 38657617059         
2013       | 2012       | 46442202100         
2013       | 2013       | 67499548057         
2013       | 2014       | 70845549407         
2013       | 2015       | 80637364548         
2013       | 2016       | 98397964439         
2013       | 2017       | 95876711237         
2013       | 2018       | 118248406218        
2014       | 2009       | 26736928465         
2014       | 2010       | 31713359958         
2014       | 2011       | 40421122346         
2014       | 2012       | 48656611244         
2014       | 2013       | 70845549407         
2014       | 2014       | 74865356857         
2014       | 2015       | 85427171508         
2014       | 2016       | 104723630706        
2014       | 2017       | 102152207147        
2014       | 2018       | 126393153671        
2014       | 2019       | 130320211461        
2015       | 2010       | 36009029438         
2015       | 2011       | 45967515072         
2015       | 2012       | 55515923107         
2015       | 2013       | 80637364548         
2015       | 2014       | 85427171508         
2015       | 2015       | 98261795027         
2015       | 2016       | 120767759673        
2015       | 2017       | 118340573285        
2015       | 2018       | 146818815209        
2015       | 2019       | 151853492280        
2015       | 2020       | 166202323238        
2016       | 2011       | 55913448263         
2016       | 2012       | 67657651191         
2016       | 2013       | 98397964439         
2016       | 2014       | 104723630706        
2016       | 2015       | 120767759673        
2016       | 2016       | 149216209907        
2016       | 2017       | 146505842993        
2016       | 2018       | 182422089376        
2016       | 2019       | 188187473481        
2016       | 2020       | 206872914642        
2016       | 2021       | 190116988671        
2017       | 2012       | 66060700138         
2017       | 2013       | 95876711237         
2017       | 2014       | 102152207147        
2017       | 2015       | 118340573285        
2017       | 2016       | 146505842993        
2017       | 2017       | 145098855051        
2017       | 2018       | 181633053280        
2017       | 2019       | 188409107451        
2017       | 2020       | 207518496534        
2017       | 2021       | 190145502336        
2017       | 2022       | 106668318376        
2018       | 2013       | 118248406218        
2018       | 2014       | 126393153671        
2018       | 2015       | 146818815209        
2018       | 2016       | 182422089376        
2018       | 2017       | 181633053280        
2018       | 2018       | 229128297120        
2018       | 2019       | 238134161398        
2018       | 2020       | 263747089757        
2018       | 2021       | 241842769349        
2018       | 2022       | 135650598801        
2018       | 2023       | 83380821770         
2019       | 2014       | 130320211461        
2019       | 2015       | 151853492280        
2019       | 2016       | 188187473481        
2019       | 2017       | 188409107451        
2019       | 2018       | 238134161398        
2019       | 2019       | 250789681554        
2019       | 2020       | 276803183419        
2019       | 2021       | 252403298641        
2019       | 2022       | 141312278892        
2019       | 2023       | 88239308526         
2019       | 2024       | 3570335204          
2020       | 2015       | 166202323238        
2020       | 2016       | 206872914642        
2020       | 2017       | 207518496534        
2020       | 2018       | 263747089757        
2020       | 2019       | 276803183419        
2020       | 2020       | 308132945365        
2020       | 2021       | 282306779318        
2020       | 2022       | 158343243946        
2020       | 2023       | 99182682658         
2020       | 2024       | 4062885719          
2021       | 2016       | 190116988671        
2021       | 2017       | 190145502336        
2021       | 2018       | 241842769349        
2021       | 2019       | 252403298641        
2021       | 2020       | 282306779318        
2021       | 2021       | 260650581758        
2021       | 2022       | 146906234487        
2021       | 2023       | 91217993201         
2021       | 2024       | 3781670210          
2022       | 2017       | 106668318376        
2022       | 2018       | 135650598801        
2022       | 2019       | 141312278892        
2022       | 2020       | 158343243946        
2022       | 2021       | 146906234487        
2022       | 2022       | 83615286743         
2022       | 2023       | 51228217467         
2022       | 2024       | 2133909302          
2023       | 2018       | 83380821770         
2023       | 2019       | 88239308526         
2023       | 2020       | 99182682658         
2023       | 2021       | 91217993201         
2023       | 2022       | 51228217467         
2023       | 2023       | 33680301061         
2023       | 2024       | 1392157867          
2024       | 2019       | 3570335204          
2024       | 2020       | 4062885719          
2024       | 2021       | 3781670210          
2024       | 2022       | 2133909302          
2024       | 2023       | 1392157867          
2024       | 2024       | 59689286            
---------------------------------------------
Total Sum (filtered): 15721094997352
