TopK=30

=== Yearly TopK Weight Stats ===
Year       | Avg Sum(Weights)     | Avg Sum(Squared)    
-------------------------------------------------------
1985       | 0.0000               | 0.0000              
1986       | 4.2726               | 0.9399              
1987       | 4.2471               | 0.9401              
1988       | 4.2506               | 0.9352              
1989       | 4.2464               | 0.9357              
1990       | 4.2519               | 0.9346              
1991       | 4.2568               | 0.9363              
1992       | 4.2584               | 0.9365              
1993       | 4.2589               | 0.9425              
1994       | 4.2640               | 0.9429              
1995       | 4.2487               | 0.9433              
1996       | 4.2556               | 0.9440              
1997       | 4.2226               | 0.9459              
1998       | 4.2076               | 0.9487              
1999       | 4.2020               | 0.9509              
2000       | 4.2015               | 0.9530              
2001       | 4.1722               | 0.9557              
2002       | 4.1397               | 0.9569              
2003       | 4.1219               | 0.9587              
2004       | 4.1082               | 0.9586              
2005       | 4.0906               | 0.9587              
2006       | 4.0769               | 0.9613              
2007       | 4.0565               | 0.9644              
2008       | 4.0520               | 0.9660              
2009       | 4.0582               | 0.9653              
2010       | 4.0562               | 0.9652              
2011       | 4.0519               | 0.9649              
2012       | 4.0333               | 0.9657              
2013       | 4.0400               | 0.9648              
2014       | 4.0441               | 0.9649              
2015       | 4.0209               | 0.9671              
2016       | 4.0231               | 0.9668              
2017       | 4.0175               | 0.9665              
2018       | 4.0244               | 0.9643              
2019       | 4.0051               | 0.9656              
2020       | 4.0233               | 0.9638              
2021       | 4.0472               | 0.9619              
2022       | 4.0632               | 0.9596              
2023       | 4.0538               | 0.9602              
2024       | 4.1033               | 0.9538              

=== Pairwise DF Sum ===
Year1      | Year2      | Sum(DF*DF)          
---------------------------------------------
1985       | 1985       | 0                   
1985       | 1986       | 0                   
1985       | 1987       | 0                   
1985       | 1988       | 0                   
1985       | 1989       | 0                   
1985       | 1990       | 0                   
1986       | 1985       | 0                   
1986       | 1986       | 350406              
1986       | 1987       | 355899              
1986       | 1988       | 373165              
1986       | 1989       | 330739              
1986       | 1990       | 380445              
1986       | 1991       | 431189              
1987       | 1985       | 0                   
1987       | 1986       | 355899              
1987       | 1987       | 474776              
1987       | 1988       | 443232              
1987       | 1989       | 392097              
1987       | 1990       | 451787              
1987       | 1991       | 516229              
1987       | 1992       | 652512              
1988       | 1985       | 0                   
1988       | 1986       | 373165              
1988       | 1987       | 443232              
1988       | 1988       | 517189              
1988       | 1989       | 413820              
1988       | 1990       | 473731              
1988       | 1991       | 541964              
1988       | 1992       | 687219              
1988       | 1993       | 743028              
1989       | 1985       | 0                   
1989       | 1986       | 330739              
1989       | 1987       | 392097              
1989       | 1988       | 413820              
1989       | 1989       | 415645              
1989       | 1990       | 423226              
1989       | 1991       | 483377              
1989       | 1992       | 614534              
1989       | 1993       | 666777              
1989       | 1994       | 691575              
1990       | 1985       | 0                   
1990       | 1986       | 380445              
1990       | 1987       | 451787              
1990       | 1988       | 473731              
1990       | 1989       | 423226              
1990       | 1990       | 549087              
1990       | 1991       | 560744              
1990       | 1992       | 712637              
1990       | 1993       | 769455              
1990       | 1994       | 798765              
