TopK=20

=== Yearly TopK Weight Stats ===
Year       | Avg Sum(Weights)     | Avg Sum(Squared)    
-------------------------------------------------------
1985       | 0.0000               | 0.0000              
1986       | 3.5509               | 0.8841              
1987       | 3.5397               | 0.8861              
1988       | 3.5355               | 0.8801              
1989       | 3.5353               | 0.8811              
1990       | 3.5412               | 0.8803              
1991       | 3.5434               | 0.8815              
1992       | 3.5484               | 0.8816              
1993       | 3.5565               | 0.8879              
1994       | 3.5635               | 0.8887              
1995       | 3.5534               | 0.8897              
1996       | 3.5591               | 0.8900              
1997       | 3.5442               | 0.8941              
1998       | 3.5434               | 0.8991              
1999       | 3.5459               | 0.9024              
2000       | 3.5509               | 0.9052              
2001       | 3.5411               | 0.9105              
2002       | 3.5240               | 0.9138              
2003       | 3.5202               | 0.9171              
2004       | 3.5117               | 0.9176              
2005       | 3.5022               | 0.9186              
2006       | 3.4997               | 0.9227              
2007       | 3.4961               | 0.9275              
2008       | 3.4976               | 0.9298              
2009       | 3.4987               | 0.9286              
2010       | 3.4966               | 0.9287              
2011       | 3.4936               | 0.9285              
2012       | 3.4830               | 0.9301              
2013       | 3.4849               | 0.9287              
2014       | 3.4881               | 0.9289              
2015       | 3.4783               | 0.9326              
2016       | 3.4785               | 0.9321              
2017       | 3.4741               | 0.9319              
2018       | 3.4729               | 0.9285              
2019       | 3.4640               | 0.9311              
2020       | 3.4707               | 0.9280              
2021       | 3.4817               | 0.9248              
2022       | 3.4868               | 0.9213              
2023       | 3.4808               | 0.9221              
2024       | 3.4987               | 0.9120              

=== Pairwise DF Sum ===
Year1      | Year2      | Sum(DF*DF)          
---------------------------------------------
1985       | 1985       | 0                   
1985       | 1986       | 0                   
1985       | 1987       | 0                   
1985       | 1988       | 0                   
1985       | 1989       | 0                   
1985       | 1990       | 0                   
1986       | 1985       | 0                   
1986       | 1986       | 164264              
1986       | 1987       | 153949              
1986       | 1988       | 163045              
1986       | 1989       | 144040              
1986       | 1990       | 167568              
1986       | 1991       | 187310              
1987       | 1985       | 0                   
1987       | 1986       | 153949              
1987       | 1987       | 216565              
1987       | 1988       | 191348              
1987       | 1989       | 169364              
1987       | 1990       | 198234              
1987       | 1991       | 222537              
1987       | 1992       | 281376              
1988       | 1985       | 0                   
1988       | 1986       | 163045              
1988       | 1987       | 191348              
1988       | 1988       | 238022              
1988       | 1989       | 180075              
1988       | 1990       | 208136              
1988       | 1991       | 234476              
1988       | 1992       | 296338              
1988       | 1993       | 312874              
1989       | 1985       | 0                   
1989       | 1986       | 144040              
1989       | 1987       | 169364              
1989       | 1988       | 180075              
1989       | 1989       | 191493              
1989       | 1990       | 185446              
1989       | 1991       | 208699              
1989       | 1992       | 265357              
1989       | 1993       | 283265              
1989       | 1994       | 291180              
1990       | 1985       | 0                   
1990       | 1986       | 167568              
1990       | 1987       | 198234              
1990       | 1988       | 208136              
1990       | 1989       | 185446              
1990       | 1990       | 256090              
1990       | 1991       | 244877              
1990       | 1992       | 311660              
1990       | 1993       | 329690              
1990       | 1994       | 340428              
