TopK=20

=== Yearly TopK Weight Stats ===
Year       | Avg Sum(Weights)     | Avg Sum(Squared)    
1990       | 1995       | 345740              
1991       | 1986       | 187310              
1991       | 1987       | 222537              
1991       | 1988       | 234476              
1991       | 1989       | 208699              
1991       | 1990       | 244877              
1991       | 1991       | 318827              
1991       | 1992       | 350621              
1991       | 1993       | 374344              
1991       | 1994       | 384647              
1991       | 1995       | 393383              
1991       | 1996       | 490255              
1992       | 1987       | 281376              
1992       | 1988       | 296338              
1992       | 1989       | 265357              
1992       | 1990       | 311660              
1992       | 1991       | 350621              
1992       | 1992       | 508023              
1992       | 1993       | 499044              
1992       | 1994       | 510573              
1992       | 1995       | 521215              
1992       | 1996       | 650691              
1992       | 1997       | 793864              
1993       | 1988       | 312874              
1993       | 1989       | 283265              
1993       | 1990       | 329690              
1993       | 1991       | 374344              
1993       | 1992       | 499044              
1993       | 1993       | 696104              
1993       | 1994       | 628197              
1993       | 1995       | 658409              
1993       | 1996       | 822039              
1993       | 1997       | 992479              
1993       | 1998       | 1142914             
1994       | 1989       | 291180              
1994       | 1990       | 340428              
1994       | 1991       | 384647              
1994       | 1992       | 510573              
1994       | 1993       | 628197              
1994       | 1994       | 697119              
1994       | 1995       | 662018              
1994       | 1996       | 825329              
1994       | 1997       | 1002039             
1994       | 1998       | 1166651             
1994       | 1999       | 1458632             
1995       | 1990       | 345740              
1995       | 1991       | 393383              
1995       | 1992       | 521215              
1995       | 1993       | 658409              
1995       | 1994       | 662018              
1995       | 1995       | 795111              
1995       | 1996       | 883532              
1995       | 1997       | 1063824             
1995       | 1998       | 1228885             
1995       | 1999       | 1529776             
1995       | 2000       | 2157438             
1996       | 1991       | 490255              
1996       | 1992       | 650691              
1996       | 1993       | 822039              
1996       | 1994       | 825329              
1996       | 1995       | 883532              
1996       | 1996       | 1186454             
1996       | 1997       | 1340063             
1996       | 1998       | 1550498             
1996       | 1999       | 1930951             
1996       | 2000       | 2722764             
1996       | 2001       | 3755735             
1997       | 1992       | 793864              
1997       | 1993       | 992479              
1997       | 1994       | 1002039             
1997       | 1995       | 1063824             
1997       | 1996       | 1340063             
1997       | 1997       | 1763408             
1997       | 1998       | 1921335             
1997       | 1999       | 2407440             
1997       | 2000       | 3404219             
1997       | 2001       | 4748717             
1997       | 2002       | 7489180             
1998       | 1993       | 1142914             
1998       | 1994       | 1166651             
1998       | 1995       | 1228885             
1998       | 1996       | 1550498             
1998       | 1997       | 1921335             
1998       | 1998       | 2371453             
1998       | 1999       | 2834917             
1998       | 2000       | 4024964             
1998       | 2001       | 5676565             
1998       | 2002       | 8950785             
1998       | 2003       | 12516822            
1999       | 1994       | 1458632             
1999       | 1995       | 1529776             
1999       | 1996       | 1930951             
1999       | 1997       | 2407440             
1999       | 1998       | 2834917             
1999       | 1999       | 3795453             
1999       | 2000       | 5167747             
1999       | 2001       | 7355751             
1999       | 2002       | 11696029            
1999       | 2003       | 16476227            
1999       | 2004       | 19301077            
2000       | 1995       | 2157438             
2000       | 1996       | 2722764             
2000       | 1997       | 3404219             
2000       | 1998       | 4024964             
2000       | 1999       | 5167747             
2000       | 2000       | 7634229             
2000       | 2001       | 10637613            
2000       | 2002       | 16901017            
2000       | 2003       | 23746740            
2000       | 2004       | 27935822            
2000       | 2005       | 37301559            
2001       | 1996       | 3755735             
2001       | 1997       | 4748717             
2001       | 1998       | 5676565             
2001       | 1999       | 7355751             
2001       | 2000       | 10637613            
2001       | 2001       | 16253748            
2001       | 2002       | 25646681            
2001       | 2003       | 36256320            
2001       | 2004       | 42972097            
2001       | 2005       | 57737727            
2001       | 2006       | 72608913            
2002       | 1997       | 7489180             
2002       | 1998       | 8950785             
2002       | 1999       | 11696029            
2002       | 2000       | 16901017            
2002       | 2001       | 25646681            
2002       | 2002       | 43295089            
2002       | 2003       | 60709110            
2002       | 2004       | 70998540            
2002       | 2005       | 95520320            
2002       | 2006       | 120610569           
2002       | 2007       | 147705242           
2003       | 1998       | 12516822            
2003       | 1999       | 16476227            
2003       | 2000       | 23746740            
2003       | 2001       | 36256320            
2003       | 2002       | 60709110            
2003       | 2003       | 91040127            
2003       | 2004       | 102729756           
2003       | 2005       | 137857926           
2003       | 2006       | 174354167           
2003       | 2007       | 213735364           
2003       | 2008       | 267123850           
2004       | 1999       | 19301077            
2004       | 2000       | 27935822            
2004       | 2001       | 42972097            
2004       | 2002       | 70998540            
2004       | 2003       | 102729756           
2004       | 2004       | 124328504           
2004       | 2005       | 167365667           
2004       | 2006       | 213151153           
2004       | 2007       | 262377658           
2004       | 2008       | 327480669           
2004       | 2009       | 403455802           
2005       | 2000       | 37301559            
2005       | 2001       | 57737727            
2005       | 2002       | 95520320            
2005       | 2003       | 137857926           
2005       | 2004       | 167365667           
2005       | 2005       | 231148532           
2005       | 2006       | 293668250           
2005       | 2007       | 361809254           
2005       | 2008       | 450018767           
2005       | 2009       | 553330921           
2005       | 2010       | 641366376           
2006       | 2001       | 72608913            
2006       | 2002       | 120610569           
2006       | 2003       | 174354167           
2006       | 2004       | 213151153           
2006       | 2005       | 293668250           
2006       | 2006       | 381546682           
2006       | 2007       | 471259521           
2006       | 2008       | 585557926           
2006       | 2009       | 719786993           
2006       | 2010       | 832869712           
2006       | 2011       | 1064616562          
2007       | 2002       | 147705242           
2007       | 2003       | 213735364           
2007       | 2004       | 262377658           
2007       | 2005       | 361809254           
2007       | 2006       | 471259521           
2007       | 2007       | 591036028           
2007       | 2008       | 734032783           
2007       | 2009       | 902978290           
2007       | 2010       | 1043888682          
2007       | 2011       | 1335831810          
2007       | 2012       | 1614497616          
2008       | 2003       | 267123850           
2008       | 2004       | 327480669           
2008       | 2005       | 450018767           
2008       | 2006       | 585557926           
2008       | 2007       | 734032783           
2008       | 2008       | 924548214           
2008       | 2009       | 1138760405          
2008       | 2010       | 1321273286          
2008       | 2011       | 1692178116          
2008       | 2012       | 2045571596          
2008       | 2013       | 2876403769          
2009       | 2004       | 403455802           
2009       | 2005       | 553330921           
2009       | 2006       | 719786993           
2009       | 2007       | 902978290           
2009       | 2008       | 1138760405          
2009       | 2009       | 1417379085          
2009       | 2010       | 1647427782          
2009       | 2011       | 2111112469          
2009       | 2012       | 2549764744          
2009       | 2013       | 3600437506          
2009       | 2014       | 3753946519          
2010       | 2005       | 641366376           
2010       | 2006       | 832869712           
2010       | 2007       | 1043888682          
2010       | 2008       | 1321273286          
2010       | 2009       | 1647427782          
2010       | 2010       | 1933203551          
2010       | 2011       | 2474793259          
2010       | 2012       | 2987784331          
2010       | 2013       | 4238407234          
2010       | 2014       | 4429975224          
2010       | 2015       | 5118848634          
2011       | 2006       | 1064616562          
2011       | 2007       | 1335831810          
2011       | 2008       | 1692178116          
2011       | 2009       | 2111112469          
2011       | 2010       | 2474793259          
2011       | 2011       | 3188872065          
2011       | 2012       | 3853610597          
2011       | 2013       | 5468740749          
2011       | 2014       | 5723003616          
2011       | 2015       | 6620599895          
2011       | 2016       | 8118053803          
2012       | 2007       | 1614497616          
2012       | 2008       | 2045571596          
2012       | 2009       | 2549764744          
2012       | 2010       | 2987784331          
2012       | 2011       | 3853610597          
2012       | 2012       | 4695102983          
2012       | 2013       | 6651967523          
2012       | 2014       | 6974390936          
2012       | 2015       | 8098485869          
2012       | 2016       | 9945382902          
2012       | 2017       | 9874912702          
2013       | 2008       | 2876403769          
2013       | 2009       | 3600437506          
2013       | 2010       | 4238407234          
2013       | 2011       | 5468740749          
2013       | 2012       | 6651967523          
2013       | 2013       | 9525005054          
2013       | 2014       | 10008770946         
2013       | 2015       | 11567865177         
2013       | 2016       | 14232401636         
2013       | 2017       | 14079960369         
2013       | 2018       | 17515428486         
2014       | 2009       | 3753946519          
2014       | 2010       | 4429975224          
2014       | 2011       | 5723003616          
2014       | 2012       | 6974390936          
2014       | 2013       | 10008770946         
2014       | 2014       | 10622430212         
2014       | 2015       | 12295627579         
2014       | 2016       | 15210249130         
2014       | 2017       | 15058708485         
2014       | 2018       | 18800044169         
2014       | 2019       | 19275726602         
2015       | 2010       | 5118848634          
2015       | 2011       | 6620599895          
2015       | 2012       | 8098485869          
2015       | 2013       | 11567865177         
2015       | 2014       | 12295627579         
2015       | 2015       | 14398823580         
2015       | 2016       | 17842524181         
2015       | 2017       | 17760380710         
2015       | 2018       | 22224965190         
2015       | 2019       | 22898058091         
2015       | 2020       | 25059758023         
2016       | 2011       | 8118053803          
2016       | 2012       | 9945382902          
2016       | 2013       | 14232401636         
2016       | 2014       | 15210249130         
2016       | 2015       | 17842524181         
2016       | 2016       | 22283992598         
2016       | 2017       | 22217280911         
2016       | 2018       | 27909963606         
2016       | 2019       | 28665859202         
2016       | 2020       | 31525893647         
2016       | 2021       | 28630494635         
2017       | 2012       | 9874912702          
2017       | 2013       | 14079960369         
2017       | 2014       | 15058708485         
2017       | 2015       | 17760380710         
2017       | 2016       | 22217280911         
2017       | 2017       | 22492750177         
2017       | 2018       | 28440719603         
2017       | 2019       | 29388904808         
2017       | 2020       | 32316987605         
2017       | 2021       | 29152168478         
2017       | 2022       | 16063153901         
2018       | 2013       | 17515428486         
2018       | 2014       | 18800044169         
2018       | 2015       | 22224965190         
2018       | 2016       | 27909963606         
2018       | 2017       | 28440719603         
2018       | 2018       | 36361642869         
2018       | 2019       | 37662444686         
2018       | 2020       | 41699243197         
2018       | 2021       | 37619496106         
2018       | 2022       | 20726744823         
2018       | 2023       | 13161834078         
2019       | 2014       | 19275726602         
2019       | 2015       | 22898058091         
2019       | 2016       | 28665859202         
2019       | 2017       | 29388904808         
2019       | 2018       | 37662444686         
2019       | 2019       | 39714210525         
2019       | 2020       | 43725886264         
2019       | 2021       | 39173353803         
2019       | 2022       | 21541896602         
2019       | 2023       | 13973985255         
2019       | 2024       | 559597612           
2020       | 2015       | 25059758023         
2020       | 2016       | 31525893647         
2020       | 2017       | 32316987605         
2020       | 2018       | 41699243197         
2020       | 2019       | 43725886264         
2020       | 2020       | 48798965499         
2020       | 2021       | 44020260754         
2020       | 2022       | 24283274362         
2020       | 2023       | 15774833552         
2020       | 2024       | 642447138           
2021       | 2016       | 28630494635         
2021       | 2017       | 29152168478         
2021       | 2018       | 37619496106         
2021       | 2019       | 39173353803         
2021       | 2020       | 44020260754         
2021       | 2021       | 40177504805         
2021       | 2022       | 22309866208         
2021       | 2023       | 14300638850         
2021       | 2024       | 591049668           
2022       | 2017       | 16063153901         
2022       | 2018       | 20726744823         
2022       | 2019       | 21541896602         
2022       | 2020       | 24283274362         
2022       | 2021       | 22309866208         
2022       | 2022       | 12570826469         
2022       | 2023       | 7933694890          
2022       | 2024       | 329902998           
2023       | 2018       | 13161834078         
2023       | 2019       | 13973985255         
2023       | 2020       | 15774833552         
2023       | 2021       | 14300638850         
2023       | 2022       | 7933694890          
2023       | 2023       | 5457488473          
2023       | 2024       | 223875550           
2024       | 2019       | 559597612           
2024       | 2020       | 642447138           
2024       | 2021       | 591049668           
2024       | 2022       | 329902998           
2024       | 2023       | 223875550           
2024       | 2024       | 9649409             
---------------------------------------------
Total Sum (filtered): 2389245613641
